,Unnamed: 0,Date,Month-Year,Warehouse Code,Customer Code,Order Number,Order Line Number,Item Code,Units,Euros,Conversion Ratio,Warehouse Name,Warehouse Country,Warehouse City,Customer Country,Customer City,Road,Rail,Sea,Air,Location,GPS 1,GPS 2,KG,CO2 Road,CO2 Rail,CO2 Sea,CO2 Air,CO2 Total
0,112,2021-01-04 00:00:00.000,1-2021,3403434,5002915-15,20247100,1,963543-43,2.0,381.47,56.584,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,LES ANGLES,765.728,200,500,300,"FRANCE, LES ANGLES",42.5796783,2.04895,113.168,8.318967005184,0.6337408000000001,0.56584,71.29584000000001,80.81438780518401
1,14485,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,1,8902753-53,250.0,187.03,0.032,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,SUCY EN BRIE,281.488,250,350,400,"FRANCE, SUCY EN BRIE",48.7688096,2.537369,8.0,0.21618278400000002,0.056,0.028000000000000004,6.720000000000001,7.020182784000001
2,14486,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,2,8308591-91,500.0,452.45,0.02219,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,SUCY EN BRIE,281.488,250,350,400,"FRANCE, SUCY EN BRIE",48.7688096,2.537369,11.095,0.29981849856000004,0.07766500000000001,0.038832500000000006,9.319800000000003,9.736115998560003
3,14487,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,3,8308621-21,500.0,452.45,0.02219,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,SUCY EN BRIE,281.488,250,350,400,"FRANCE, SUCY EN BRIE",48.7688096,2.537369,11.095,0.29981849856000004,0.07766500000000001,0.038832500000000006,9.319800000000003,9.736115998560003
4,14488,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,4,8022921-21,400.0,567.16,0.032,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,SUCY EN BRIE,281.488,250,350,400,"FRANCE, SUCY EN BRIE",48.7688096,2.537369,12.8,0.34589245440000005,0.08960000000000001,0.044800000000000006,10.752,11.232292454400001
5,14489,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,5,8128704-04,400.0,550.04,0.02092,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,SUCY EN BRIE,281.488,250,350,400,"FRANCE, SUCY EN BRIE",48.7688096,2.537369,8.368,0.226127192064,0.058576,0.029288000000000005,7.02912,7.343111192064
6,14490,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,6,802077-77,300.0,408.27,0.019,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,SUCY EN BRIE,281.488,250,350,400,"FRANCE, SUCY EN BRIE",48.7688096,2.537369,5.7,0.1540302336,0.039900000000000005,0.019950000000000002,4.788000000000001,5.0018802336000014
7,14491,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,7,888751-51,96.0,107.39,0.04767,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,SUCY EN BRIE,281.488,250,350,400,"FRANCE, SUCY EN BRIE",48.7688096,2.537369,4.57632,0.12366519975936001,0.03203424,0.01601712,3.8441088,4.01582535975936
8,14492,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,8,897001-01,125.0,228.0,0.04304,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,SUCY EN BRIE,281.488,250,350,400,"FRANCE, SUCY EN BRIE",48.7688096,2.537369,5.38,0.14538292224,0.03766,0.01883,4.5192000000000005,4.72107292224
9,14493,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,9,8308601-01,200.0,180.98,0.02219,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,SUCY EN BRIE,281.488,250,350,400,"FRANCE, SUCY EN BRIE",48.7688096,2.537369,4.438000000000001,0.11992739942400003,0.031066000000000003,0.015533000000000003,3.727920000000001,3.894446399424001
10,15314,2021-01-07 00:00:00.000,1-2021,3403434,5340669-69,20203388,1,993081-81,153.0,24374.43,16.53807,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,GERMANY,PEINE - WOLTORF,856.0,500,600,500,"GERMANY, PEINE - WOLTORF",52.304594,10.3125211,2530.3247100000003,207.93196336896006,35.42454594000001,15.181948260000002,2656.8409455000005,2915.3794030689605
